"adm","vals","year"
"Adamawa",299.57,1985
"Borno",300.65,1985
"Yobe",300.34,1985
"Adamawa",299.97,1986
"Borno",300.95,1986
"Yobe",300.49,1986
"Adamawa",300.4,1987
"Borno",301.23,1987
"Yobe",300.78,1987
"Adamawa",299.82,1988
"Borno",300.5,1988
"Yobe",300.21,1988
"Adamawa",299.13,1989
"Borno",299.82,1989
"Yobe",299.46,1989
"Adamawa",300.15,1990
"Borno",301.24,1990
"Yobe",300.71,1990
"Adamawa",299.94,1991
"Borno",300.68,1991
"Yobe",300.19,1991
"Adamawa",299.3,1992
"Borno",300.11,1992
"Yobe",299.62,1992
"Adamawa",299.87,1993
"Borno",300.84,1993
"Yobe",300.35,1993
"Adamawa",299.55,1994
"Borno",300.26,1994
"Yobe",299.77,1994
"Adamawa",299.7,1995
"Borno",300.52,1995
"Yobe",300.05,1995
"Adamawa",299.75,1996
"Borno",300.71,1996
"Yobe",300.2,1996
"Adamawa",299.71,1997
"Borno",300.77,1997
"Yobe",300.45,1997
"Adamawa",300.26,1998
"Borno",301.17,1998
"Yobe",300.7,1998
"Adamawa",299.84,1999
"Borno",300.65,1999
"Yobe",300.24,1999
"Adamawa",299.58,2000
"Borno",300.28,2000
"Yobe",299.9,2000
"Adamawa",299.46,2001
"Borno",299.87,2001
"Yobe",299.47,2001
"Adamawa",299.88,2002
"Borno",300.41,2002
"Yobe",300,2002
"Adamawa",300.33,2003
"Borno",300.78,2003
"Yobe",300.32,2003
"Adamawa",300.38,2004
"Borno",301.13,2004
"Yobe",300.83,2004
"Adamawa",300.73,2005
"Borno",301.46,2005
"Yobe",301.16,2005
"Adamawa",300.46,2006
"Borno",301.25,2006
"Yobe",300.99,2006
"Adamawa",299.88,2007
"Borno",300.73,2007
"Yobe",300.47,2007
"Adamawa",299.72,2008
"Borno",300.4,2008
"Yobe",300.1,2008
"Adamawa",300.32,2009
"Borno",301.34,2009
"Yobe",301.05,2009
"Adamawa",300.25,2010
"Borno",300.91,2010
"Yobe",300.6,2010
"Adamawa",299.9,2011
"Borno",300.36,2011
"Yobe",299.92,2011
"Adamawa",299.73,2012
"Borno",300.24,2012
"Yobe",299.8,2012
"Adamawa",300.24,2013
"Borno",301.16,2013
"Yobe",300.71,2013
"Adamawa",300.02,2014
"Borno",301,2014
"Yobe",300.48,2014
"Adamawa",300.29,2015
"Borno",301.13,2015
"Yobe",300.7,2015
