"adm","vals","year"
"Adamawa",1125.51,1985
"Borno",538.57,1985
"Yobe",495.68,1985
"Adamawa",970.61,1986
"Borno",480.12,1986
"Yobe",508.95,1986
"Adamawa",989.4,1987
"Borno",449.54,1987
"Yobe",480.6,1987
"Adamawa",1188.73,1988
"Borno",737.14,1988
"Yobe",694.87,1988
"Adamawa",1045.73,1989
"Borno",515.04,1989
"Yobe",533.37,1989
"Adamawa",947.94,1990
"Borno",397.85,1990
"Yobe",436.96,1990
"Adamawa",961.57,1991
"Borno",462.1,1991
"Yobe",539.07,1991
"Adamawa",1067.82,1992
"Borno",515.03,1992
"Yobe",555.38,1992
"Adamawa",914.96,1993
"Borno",337.47,1993
"Yobe",363.87,1993
"Adamawa",1196.59,1994
"Borno",697.39,1994
"Yobe",724.17,1994
"Adamawa",1065.33,1995
"Borno",480.76,1995
"Yobe",439.87,1995
"Adamawa",1030.78,1996
"Borno",475.28,1996
"Yobe",450.63,1996
"Adamawa",999.83,1997
"Borno",426.2,1997
"Yobe",405.57,1997
"Adamawa",1071.69,1998
"Borno",519.4,1998
"Yobe",612.3,1998
"Adamawa",1161.26,1999
"Borno",596.07,1999
"Yobe",644.23,1999
"Adamawa",923.42,2000
"Borno",426.35,2000
"Yobe",452.5,2000
"Adamawa",890.17,2001
"Borno",412.45,2001
"Yobe",485.91,2001
"Adamawa",863.03,2002
"Borno",340.43,2002
"Yobe",373.45,2002
"Adamawa",978.68,2003
"Borno",447.93,2003
"Yobe",512,2003
"Adamawa",887.69,2004
"Borno",355.13,2004
"Yobe",371.54,2004
"Adamawa",926.67,2005
"Borno",484.43,2005
"Yobe",505.35,2005
"Adamawa",900.86,2006
"Borno",346.36,2006
"Yobe",424.63,2006
"Adamawa",1001.36,2007
"Borno",484.97,2007
"Yobe",488.51,2007
"Adamawa",1123.92,2008
"Borno",744.8,2008
"Yobe",778.55,2008
"Adamawa",1109.43,2009
"Borno",445.5,2009
"Yobe",462.2,2009
"Adamawa",991.88,2010
"Borno",564.47,2010
"Yobe",587.76,2010
"Adamawa",850.15,2011
"Borno",396.29,2011
"Yobe",452.17,2011
"Adamawa",1077.24,2012
"Borno",526.83,2012
"Yobe",574.04,2012
"Adamawa",893.08,2013
"Borno",415.13,2013
"Yobe",429.58,2013
"Adamawa",1020.61,2014
"Borno",481.51,2014
"Yobe",577.04,2014
"Adamawa",822.73,2015
"Borno",403.03,2015
"Yobe",479.9,2015
