"adm","vals","year"
"Kaffrine",300.54,1985
"Tillabéry",301.42,1985
"Ségou",301.24,1985
"Kaffrine",300.36,1986
"Tillabéry",301.59,1986
"Ségou",301.13,1986
"Kaffrine",301.02,1987
"Tillabéry",302.19,1987
"Ségou",302.38,1987
"Kaffrine",300.74,1988
"Tillabéry",301.48,1988
"Ségou",301.41,1988
"Kaffrine",300.55,1989
"Tillabéry",301.17,1989
"Ségou",301.53,1989
"Kaffrine",300.95,1990
"Tillabéry",301.95,1990
"Ségou",301.89,1990
"Kaffrine",300.78,1991
"Tillabéry",301.61,1991
"Ségou",301.71,1991
"Kaffrine",300.83,1992
"Tillabéry",301.22,1992
"Ségou",301.25,1992
"Kaffrine",301.08,1993
"Tillabéry",301.91,1993
"Ségou",301.85,1993
"Kaffrine",300.73,1994
"Tillabéry",301.35,1994
"Ségou",300.86,1994
"Kaffrine",300.9,1995
"Tillabéry",301.73,1995
"Ségou",301.28,1995
"Kaffrine",301.16,1996
"Tillabéry",301.96,1996
"Ségou",301.73,1996
"Kaffrine",301.23,1997
"Tillabéry",301.89,1997
"Ségou",301.47,1997
"Kaffrine",301.59,1998
"Tillabéry",301.97,1998
"Ségou",301.86,1998
"Kaffrine",300.33,1999
"Tillabéry",301.58,1999
"Ségou",300.92,1999
"Kaffrine",300.87,2000
"Tillabéry",301.74,2000
"Ségou",301.48,2000
"Kaffrine",301.04,2001
"Tillabéry",301.46,2001
"Ségou",301.32,2001
"Kaffrine",301.44,2002
"Tillabéry",301.83,2002
"Ségou",302.05,2002
"Kaffrine",300.92,2003
"Tillabéry",302.2,2003
"Ségou",301.98,2003
"Kaffrine",301.06,2004
"Tillabéry",302.55,2004
"Ségou",302.54,2004
"Kaffrine",301.45,2005
"Tillabéry",302.61,2005
"Ségou",302.54,2005
"Kaffrine",301.13,2006
"Tillabéry",302.29,2006
"Ségou",301.76,2006
"Kaffrine",301.03,2007
"Tillabéry",301.96,2007
"Ségou",301.71,2007
"Kaffrine",300.9,2008
"Tillabéry",301.41,2008
"Ségou",301.27,2008
"Kaffrine",300.8,2009
"Tillabéry",302.54,2009
"Ségou",301.79,2009
"Kaffrine",301.37,2010
"Tillabéry",301.93,2010
"Ségou",301.84,2010
"Kaffrine",300.93,2011
"Tillabéry",301.63,2011
"Ségou",301.35,2011
"Kaffrine",300.81,2012
"Tillabéry",301.5,2012
"Ségou",300.85,2012
"Kaffrine",301.19,2013
"Tillabéry",302.24,2013
"Ségou",301.72,2013
"Kaffrine",301.26,2014
"Tillabéry",302.27,2014
"Ségou",301.8,2014
"Kaffrine",301.02,2015
"Tillabéry",301.98,2015
"Ségou",301.74,2015
