"adm","vals","year"
"Kaffrine",581.39,1985
"Tillabéry",291.71,1985
"Ségou",525.37,1985
"Kaffrine",577.56,1986
"Tillabéry",334.51,1986
"Ségou",504.53,1986
"Kaffrine",554.29,1987
"Tillabéry",203.33,1987
"Ségou",435.27,1987
"Kaffrine",672.27,1988
"Tillabéry",395.5,1988
"Ségou",606.93,1988
"Kaffrine",711.19,1989
"Tillabéry",300.02,1989
"Ségou",543.16,1989
"Kaffrine",504.31,1990
"Tillabéry",225.74,1990
"Ségou",415.22,1990
"Kaffrine",445.49,1991
"Tillabéry",347.18,1991
"Ségou",452.31,1991
"Kaffrine",404.92,1992
"Tillabéry",295.83,1992
"Ségou",479.8,1992
"Kaffrine",530.57,1993
"Tillabéry",230.63,1993
"Ségou",407.62,1993
"Kaffrine",667.11,1994
"Tillabéry",371.97,1994
"Ségou",652.8,1994
"Kaffrine",530.78,1995
"Tillabéry",285.81,1995
"Ségou",495.61,1995
"Kaffrine",515.03,1996
"Tillabéry",224.15,1996
"Ségou",450.85,1996
"Kaffrine",476.65,1997
"Tillabéry",254.46,1997
"Ségou",416.68,1997
"Kaffrine",348.05,1998
"Tillabéry",369.84,1998
"Ségou",512.66,1998
"Kaffrine",539.02,1999
"Tillabéry",414.97,1999
"Ségou",534.76,1999
"Kaffrine",519.38,2000
"Tillabéry",254.97,2000
"Ségou",457.13,2000
"Kaffrine",465.64,2001
"Tillabéry",291.2,2001
"Ségou",399.05,2001
"Kaffrine",437.26,2002
"Tillabéry",303.17,2002
"Ségou",382.04,2002
"Kaffrine",518.02,2003
"Tillabéry",340.71,2003
"Ségou",575.85,2003
"Kaffrine",360.67,2004
"Tillabéry",204.47,2004
"Ségou",393.13,2004
"Kaffrine",453.89,2005
"Tillabéry",290.06,2005
"Ségou",420.15,2005
"Kaffrine",374.05,2006
"Tillabéry",257.33,2006
"Ségou",438.08,2006
"Kaffrine",547.85,2007
"Tillabéry",365.98,2007
"Ségou",612.37,2007
"Kaffrine",742.57,2008
"Tillabéry",437.74,2008
"Ségou",738.48,2008
"Kaffrine",795.08,2009
"Tillabéry",297.49,2009
"Ségou",490.99,2009
"Kaffrine",641.34,2010
"Tillabéry",354.72,2010
"Ségou",592.15,2010
"Kaffrine",401.19,2011
"Tillabéry",203.1,2011
"Ségou",334.75,2011
"Kaffrine",597.49,2012
"Tillabéry",425.57,2012
"Ségou",505.59,2012
"Kaffrine",492.93,2013
"Tillabéry",306.02,2013
"Ségou",409.4,2013
"Kaffrine",369.45,2014
"Tillabéry",323.45,2014
"Ségou",368.35,2014
"Kaffrine",558.68,2015
"Tillabéry",345.08,2015
"Ségou",457.83,2015
